dataset,trial,r2_train,r2_zero_test,seed,algorithm
687_sleuth_ex1605,7,0.8527522121238889,0.6060612749051052,11964,AlpineGP
687_sleuth_ex1605,8,0.9193432299785051,0.2644273249565969,6265,AlpineGP
687_sleuth_ex1605,9,0.8768115975776802,-0.0134259395796847,23654,AlpineGP
687_sleuth_ex1605,10,0.8114850362450665,0.4063983818329976,11284,AlpineGP
712_chscase_geyser1,1,0.7731678933463484,0.8071731773145892,29802,AlpineGP
712_chscase_geyser1,2,0.8078550859002516,0.7484923685586484,22118,AlpineGP
712_chscase_geyser1,3,0.8185079925861299,0.7072464674827853,860,AlpineGP
712_chscase_geyser1,4,0.7837809163864075,0.8380674967561879,15795,AlpineGP
712_chscase_geyser1,5,0.7970770572659793,0.725954545501773,21575,AlpineGP
712_chscase_geyser1,6,0.8164632028917307,0.6173348441709923,5390,AlpineGP
712_chscase_geyser1,7,0.7934928864959542,0.7781386769075218,11964,AlpineGP
712_chscase_geyser1,8,0.8002311358977452,0.747954045470022,6265,AlpineGP
712_chscase_geyser1,9,0.8280507876086993,0.6966849006795852,23654,AlpineGP
712_chscase_geyser1,10,0.7899048289525511,0.7656500189255918,11284,AlpineGP
505_tecator,1,0.9849938221793044,0.9803652521254635,29802,AlpineGP
505_tecator,2,0.990004284769098,0.9888041303189906,22118,AlpineGP
505_tecator,3,0.9902269636924028,0.9866341562089298,860,AlpineGP
505_tecator,4,0.9865817685899064,0.9733492090347696,15795,AlpineGP
505_tecator,5,0.9887795738732812,0.989508930282217,21575,AlpineGP
505_tecator,6,0.9894117710247426,0.9863916793707818,5390,AlpineGP
505_tecator,7,0.9872229988082978,0.9942715264668988,11964,AlpineGP
505_tecator,8,0.9901984415483523,0.9842971036872236,6265,AlpineGP
505_tecator,9,0.9895442137320712,0.989629318075104,23654,AlpineGP
505_tecator,10,0.9888637415995593,0.989924123860705,11284,AlpineGP
1096_FacultySalaries,1,0.9767182507343752,0.9157994091559892,29802,AlpineGP
1096_FacultySalaries,2,0.9803888885908264,0.9165116967750282,22118,AlpineGP
1096_FacultySalaries,3,0.9780267552798292,0.8959509415826397,860,AlpineGP
1096_FacultySalaries,4,0.9996757503744214,0.1871531986289357,15795,AlpineGP
1096_FacultySalaries,5,0.9743169521032308,0.824006880198306,21575,AlpineGP
1096_FacultySalaries,6,0.9981737236075224,-0.6885135972061531,5390,AlpineGP
1096_FacultySalaries,7,0.987966684023294,0.9058329628455264,11964,AlpineGP
1096_FacultySalaries,8,0.9808426689279084,0.9442587900294288,6265,AlpineGP
1096_FacultySalaries,9,0.9769967601575328,0.953636642461188,23654,AlpineGP
1096_FacultySalaries,10,0.9748394957841016,0.8271533837436877,11284,AlpineGP
1030_ERA,1,0.3634042863512611,0.4649474149521507,29802,AlpineGP
1030_ERA,2,0.3765303505987721,0.4297029880473384,22118,AlpineGP
1030_ERA,3,0.3843828996747221,0.4213754140035408,860,AlpineGP
1030_ERA,4,0.3880868107634374,0.386598377629444,15795,AlpineGP
1030_ERA,5,0.3891715947542957,0.3964867576007236,21575,AlpineGP
1030_ERA,6,0.3955021797648402,0.3631139324474255,5390,AlpineGP
1030_ERA,7,0.3955586213104496,0.3735509794739262,11964,AlpineGP
1030_ERA,8,0.4050295021343415,0.3469670781197486,6265,AlpineGP
1030_ERA,9,0.4011884785657487,0.3585688050932099,23654,AlpineGP
1030_ERA,10,0.4040355887232861,0.3037834865837007,11284,AlpineGP
690_visualizing_galaxy,1,0.959902448033556,0.9644674407185324,29802,AlpineGP
690_visualizing_galaxy,2,0.968430479831604,0.9513042186390732,22118,AlpineGP
690_visualizing_galaxy,3,0.9723687540923116,0.9593230555260844,860,AlpineGP
690_visualizing_galaxy,4,0.9721445323103012,0.9438946783513268,15795,AlpineGP
690_visualizing_galaxy,5,0.968311122649418,0.957755215537606,21575,AlpineGP
690_visualizing_galaxy,6,0.9628681402017482,0.969910363322565,5390,AlpineGP
690_visualizing_galaxy,7,0.9694339423965034,0.9675527450179282,11964,AlpineGP
690_visualizing_galaxy,8,0.9678802529346736,0.9591759422278608,6265,AlpineGP
690_visualizing_galaxy,9,0.972463892876953,0.96427121477383,23654,AlpineGP
690_visualizing_galaxy,10,0.9702442815007138,0.9624784391555712,11284,AlpineGP
225_puma8NH,1,0.6739642075411374,0.6654427143229324,29802,AlpineGP
